WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,26-07-21,2021,30,25-07-21,2021,30,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,17,,,,,BE,202130,202130
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,08-08-22,2022,32,07-08-22,2022,32,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,19,,,,,BE,202232,202232
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,18-08-08,2008,34,17-08-08,2008,34,NOTDEFINED,0,,,,,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,BE,200834,200834
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,04-08-14,2014,32,03-08-14,2014,32,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201432,201432
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,14-09-98,1998,38,13-09-98,1998,37,NOTDEFINED,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,Two isolated cases of influenza B were observed in September in children less than 1 year of age.,BE,199838,199837
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,10-08-15,2015,33,09-08-15,2015,32,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201533,201532
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,16-06-08,2008,25,15-06-08,2008,25,NOTDEFINED,0,,,,,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,BE,200825,200825
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,01-06-09,2009,23,31-05-09,2009,23,NOTDEFINED,14,14,,,,,,0,,,,0,,,,,,0,0,,,1,,,,,,,,,,,,BE,200923,200923
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,10-10-16,2016,41,09-10-16,2016,41,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201641,201641
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,30-10-17,2017,44,29-10-17,2017,44,SENTINEL,3,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201744,201744
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,09-02-15,2015,7,08-02-15,2015,6,NONSENTINEL,12,,1,0,11,,,0,,,,12,,,0,,0,0,0,12,,,,,,,,,0,,,,,BE,201507,201506
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,12-01-04,2004,3,11-01-04,2004,2,NOTDEFINED,9,,,,,,,2,,,,2,,,,,,,,2,,3,,,,,,,,,,,1.1% of ILI,BE,200403,200402
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,06-02-23,2023,6,05-02-23,2023,6,SENTINEL,21,,2,,,,,,,,,2,,,3,,,,3,5,,,,,,,,,0,,,,,BE,202306,202306
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,07-11-11,2011,45,06-11-11,2011,45,NOTDEFINED,11,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,2,,,,,,,,,RSV,�����,�����,BE,201145,201145
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,29-05-23,2023,22,28-05-23,2023,22,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,40,,,,,BE,202322,202322
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,19-03-18,2018,12,18-03-18,2018,12,SENTINEL,29,,4,0,3,,,1,,,,8,,,9,,0,1,10,18,,,,,,,,,0,,,,,BE,201812,201812
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,03-10-16,2016,40,02-10-16,2016,40,SENTINEL,7,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201640,201640
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,29-08-22,2022,35,28-08-22,2022,35,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,15,,,,,BE,202235,202235
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,13-05-24,2024,20,12-05-24,2024,20,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,8,,,,,BE,202420,202420
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,17-01-22,2022,3,16-01-22,2022,3,SENTINEL,8,,0,,0,,,,,,,0,,,0,,0,,0,,,,,,,,,,1,,,,,BE,202203,202203
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,07-08-23,2023,32,06-08-23,2023,32,SENTINEL,2,,0,,0,,,,,,,0,,,0,,0,,0,,,,,,,,,,0,,,,,BE,202332,202332
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,09-10-23,2023,41,08-10-23,2023,41,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,409,,,,,BE,202341,202341
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,08-01-18,2018,2,07-01-18,2018,2,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201802,201802
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,09-02-09,2009,7,08-02-09,2009,7,NOTDEFINED,67,67,,1,39,,,3,,,,43,,,,,,4,4,47,,3,,,,,,,,,,,,BE,200907,200907
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,02-04-18,2018,14,01-04-18,2018,14,NONSENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201814,201814
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,14-01-02,2002,3,13-01-02,2002,3,NOTDEFINED,,,,,,,,151,,,,151,,,,,,2,2,153,,6,,,,,,,,,,,widespread activity,BE,200203,200203
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,18-08-14,2014,34,17-08-14,2014,34,SENTINEL,0,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,BE,201434,201434
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,06-06-22,2022,23,05-06-22,2022,23,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,194,,,,,BE,202223,202223
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,26-10-15,2015,44,25-10-15,2015,43,SENTINEL,9,,0,0,0,,,1,,,,1,,,2,,0,0,2,3,,,,,,,,,0,,,,,BE,201544,201543
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,19-11-12,2012,47,18-11-12,2012,47,NOTDEFINED,13,,0,0,0,,,0,,,,0,,,1,,1,0,2,2,,3,,,,,,,,,RSV,,,BE,201247,201247
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,23-10-23,2023,43,22-10-23,2023,43,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,777,,,,,BE,202343,202343
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,06-12-21,2021,49,05-12-21,2021,49,SENTINEL,13,,,,,,,0,,,,0,,,,,,0,0,,,,,,,,,,1,,,,,BE,202149,202149
