WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,26-07-21,2021,30,25-07-21,2021,30,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,17,,,,,BE,202130,202130
EUR,NH,NH,FLU_SW_EUR,FRA,France,21-05-01,2001,21,20-05-01,2001,21,NOTDEFINED,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,ILI incidence of 6 per 100'000,FR,200121,200121
EUR,NH,NH,FLU_SW_EUR,FRA,France,12-01-15,2015,3,11-01-15,2015,2,SENTINEL,159,,23,0,63,,,0,,,,86,,,0,,0,14,14,100,,,,,,,,,9,,,,,FR,201503,201502
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,14-01-08,2008,3,13-01-08,2008,3,NOTDEFINED,116,,,0,,,,,,,,0,,,,,,18,18,18,,5,,,,,,,,,,,,DE,200803,200803
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,08-08-22,2022,32,07-08-22,2022,32,NONSENTINEL,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,19,,,,,BE,202232,202232
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,29-11-99,1999,48,28-11-99,1999,48,NOTDEFINED,87,,,0,11,,,0,,,,11,,,,,,0,0,11,,3,,,,,,,,,,,Isolates were mainly from Berlin and Thuringia,DE,199948,199948
EUR,NH,NH,FLU_SW_EUR,BEL,Belgium,18-08-08,2008,34,17-08-08,2008,34,NOTDEFINED,0,,,,,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,BE,200834,200834
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,21-05-18,2018,21,20-05-18,2018,21,SENTINEL,20,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,1,,,,,DE,201821,201821
EUR,NH,NH,FLU_SW_EUR,FRA,France,24-04-23,2023,17,23-04-23,2023,17,SENTINEL,47,,1,,0,,,0,,,,1,,,1,,0,4,5,6,,,,,,,,,0,,,,,FR,202317,202317
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,24-02-97,1997,9,23-02-97,1997,9,NOTDEFINED,,,,,,,,,,,,,,,,,,6,6,6,,4,,,,,,,,,,,"Isolates mainly from Berlin, Saarland and Brandenburg.",DE,199709,199709
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,18-10-99,1999,42,17-10-99,1999,42,NOTDEFINED,28,,,0,1,,,0,,,,1,,,,,,0,0,1,,3,,,,,,,,,,,The virus was isolated from a little child at the age of ten months from the Southern part of Germany.,DE,199942,199942
EUR,NH,NH,FLU_SW_EUR,FRA,France,16-11-20,2020,47,15-11-20,2020,47,SENTINEL,28,,0,0,0,,,0,,,,0,,,0,,0,0,0,,,,,,,,,,0,,,,,FR,202047,202047
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,06-09-21,2021,36,05-09-21,2021,36,NONSENTINEL,5,,0,0,0,0,,,,,,0,,,0,,0,,0,,,,,,,,,,1,,,,,DE,202136,202136
EUR,NH,NH,FLU_SW_EUR,FRA,France,12-12-16,2016,50,11-12-16,2016,50,NONSENTINEL,4482,,1,0,96,,,626,,,,723,,,0,,0,2,2,725,,,,,,,,,899,,,,,FR,201650,201650
EUR,NH,NH,FLU_SW_EUR,FRA,France,04-04-05,2005,14,03-04-05,2005,14,NOTDEFINED,358,,,3,2,,,7,,,,12,,,,,,11,11,23,,3,,,,,,,,,,,"GROG : 30 samples. Influenza detection : 1 A H3, 3 A H1, 1 A not subtyped and 2 B.
Hospitals : 328 samples. Influenza detection : 1 A H3, 6 A not subtyped and 9 B.",FR,200514,200514
EUR,NH,NH,FLU_SW_EUR,FRA,France,03-11-03,2003,45,02-11-03,2003,45,NOTDEFINED,332,,,0,8,,,21,,,,29,,,,,,0,0,29,,4,,,,,,,,,,,"GROG : 127 samples.
Hospitals : 205 samples",FR,200345,200345
EUR,NH,NH,FLU_SW_EUR,DEU,Germany,21-01-08,2008,4,20-01-08,2008,4,NOTDEFINED,154,,,0,,,,,,,,0,,,,,,21,21,21,,5,,,,,,,,,,,,DE,200804,200804
EUR,NH,NH,FLU_SW_EUR,FRA,France,08-01-01,2001,2,07-01-01,2001,2,NOTDEFINED,1388,,,,,,,34,,,,34,,,,,,3,3,37,,5,,,,,,,,,,,"influenza A continued to circulate in the north particulalry in the western part and in Ile de France.  The The first influenza B viruses for this season were isolated in Ile de France and Lorraine, and are B/Yamanashi/166/98-like syrains.  ",FR,200102,200102
