Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
332730,Monkey Pox,,Asia,South-Eastern Asia,Viet Nam,Ho Chi Minh City,Ho Chi Minh,10.81,106.68,National authorities,Confirmed,,,18-09-22,03-10-22,1,
330526,Monkey Pox,,Europe,Western Europe,France,Ile-de-France,Pitiï¿½ï¿½ï¿½ï¿½ï¿½ï,48.8,2.36,Publications,Confirmed,Domestic,Dogs,22-06-22,09-08-22,,
211495,Monkey Pox,,Africa,Middle Africa,Cameroon,Centre,Mï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,3.933233,11.791703,WOAH (former OIE),Confirmed,Wild,Monkey,15-08-16,25-08-16,,
187674,Monkey Pox,,Africa,Middle Africa,Cameroon,Centre,Haute-Sanaga,4.8651,13.1678,WOAH (former OIE),Confirmed,Wild,Monkey,02-06-14,18-07-14,,
239741,Monkey Pox,,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Cornwall,50.437109,-4.625782,National authorities,Confirmed,,,,08-09-18,1,
321925,Monkey Pox,,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,London,51.48185,-0.138169,National authorities,Confirmed,,,,06-05-22,1,
322038,Monkey Pox,,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,London,51.48185,-0.138169,National authorities,Confirmed,,,,14-05-22,2,
322209,Monkey Pox,,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,London,51.48185,-0.138169,National authorities,Confirmed,,,,16-05-22,4,
322267,Monkey Pox,,Europe,Southern Europe,Portugal,Lisboa,Lisbona,38.743,-9.148,National authorities,Confirmed,,,,18-05-22,5,
322268,Monkey Pox,,Europe,Southern Europe,Spain,Comunidad de Madrid,Madrid,40.525,-3.771,National authorities,Confirmed,,,,18-05-22,7,
322337,Monkey Pox,,Americas,Northern America,Canada,Quebec / Quï¿½ï¿,Montreal,45.55455,-73.602967,National authorities,Confirmed,,,,19-05-22,2,
322338,Monkey Pox,,Americas,Northern America,United States of America,Massachusetts,Massachuttes,42.19063,-72.097485,National authorities,Confirmed,,,,18-05-22,1,
322339,Monkey Pox,,Europe,Northern Europe,Sweden,Stockholms Laen,Stockholm,59.331,18.084,National authorities,Confirmed,,,,19-05-22,1,
