COUNTRY_AREA_TERRITORY,iso3,WHOREGION,month_start,cases,deaths
Andorra,AND,EURO,01-07-22,3,0
Andorra,AND,EURO,01-08-22,1,0
Andorra,AND,EURO,01-09-22,0,0
Andorra,AND,EURO,01-10-22,0,0
Andorra,AND,EURO,01-11-22,0,0
Andorra,AND,EURO,01-12-22,0,0
Andorra,AND,EURO,01-01-23,0,0
Andorra,AND,EURO,01-02-23,0,0
Andorra,AND,EURO,01-03-23,0,0
Andorra,AND,EURO,01-04-23,0,0
Andorra,AND,EURO,01-05-23,0,0
Andorra,AND,EURO,01-06-23,0,0
Andorra,AND,EURO,01-07-23,0,0
Andorra,AND,EURO,01-08-23,0,0
Andorra,AND,EURO,01-09-23,0,0
Andorra,AND,EURO,01-10-23,0,0
Andorra,AND,EURO,01-11-23,0,0
Andorra,AND,EURO,01-12-23,0,0
Andorra,AND,EURO,01-01-24,0,0
Andorra,AND,EURO,01-02-24,0,0
Andorra,AND,EURO,01-03-24,0,0
Andorra,AND,EURO,01-04-24,0,0
Andorra,AND,EURO,01-05-24,0,0
Argentina,ARG,AMRO,01-05-22,2,0
Argentina,ARG,AMRO,01-06-22,4,0
Argentina,ARG,AMRO,01-07-22,14,0
Argentina,ARG,AMRO,01-08-22,150,0
Argentina,ARG,AMRO,01-09-22,226,0
Argentina,ARG,AMRO,01-10-22,279,0
Argentina,ARG,AMRO,01-11-22,269,1
Argentina,ARG,AMRO,01-12-22,74,0
Argentina,ARG,AMRO,01-01-23,57,1
Argentina,ARG,AMRO,01-02-23,33,0
Argentina,ARG,AMRO,01-03-23,16,0
Argentina,ARG,AMRO,01-04-23,4,0
Argentina,ARG,AMRO,01-05-23,1,0
Argentina,ARG,AMRO,01-06-23,0,0
Argentina,ARG,AMRO,01-07-23,0,0
Argentina,ARG,AMRO,01-08-23,1,0
Argentina,ARG,AMRO,01-09-23,0,0
Argentina,ARG,AMRO,01-10-23,5,0
Argentina,ARG,AMRO,01-11-23,1,0
Argentina,ARG,AMRO,01-12-23,0,0
Argentina,ARG,AMRO,01-01-24,13,0
Argentina,ARG,AMRO,01-02-24,0,0
Argentina,ARG,AMRO,01-03-24,0,0
Argentina,ARG,AMRO,01-04-24,0,0
Argentina,ARG,AMRO,01-05-24,0,0
Aruba,ABW,AMRO,01-08-22,2,0
Aruba,ABW,AMRO,01-09-22,1,0
Aruba,ABW,AMRO,01-10-22,0,0
Aruba,ABW,AMRO,01-11-22,0,0
Aruba,ABW,AMRO,01-12-22,0,0
Aruba,ABW,AMRO,01-01-23,0,0
Aruba,ABW,AMRO,01-02-23,0,0
Aruba,ABW,AMRO,01-03-23,0,0
Aruba,ABW,AMRO,01-04-23,0,0
Aruba,ABW,AMRO,01-05-23,0,0
Aruba,ABW,AMRO,01-06-23,0,0
Aruba,ABW,AMRO,01-07-23,0,0
Aruba,ABW,AMRO,01-08-23,0,0
Aruba,ABW,AMRO,01-09-23,0,0
Aruba,ABW,AMRO,01-10-23,0,0
Aruba,ABW,AMRO,01-11-23,0,0
Aruba,ABW,AMRO,01-12-23,0,0
Aruba,ABW,AMRO,01-01-24,0,0
Aruba,ABW,AMRO,01-02-24,0,0
Aruba,ABW,AMRO,01-03-24,0,0
Aruba,ABW,AMRO,01-04-24,0,0
Aruba,ABW,AMRO,01-05-24,0,0
Australia,AUS,WPRO,01-05-22,2,0
Australia,AUS,WPRO,01-06-22,10,0
Australia,AUS,WPRO,01-07-22,33,0
Australia,AUS,WPRO,01-08-22,61,0
Australia,AUS,WPRO,01-09-22,30,0
Australia,AUS,WPRO,01-10-22,4,0
Australia,AUS,WPRO,01-11-22,3,0
Australia,AUS,WPRO,01-12-22,1,0
Australia,AUS,WPRO,01-02-23,1,0
Australia,AUS,WPRO,01-04-23,2,0
Australia,AUS,WPRO,01-05-23,1,0
Australia,AUS,WPRO,01-06-23,1,0
Australia,AUS,WPRO,01-07-23,7,0
Australia,AUS,WPRO,01-08-23,3,0
Australia,AUS,WPRO,01-09-23,5,0
Australia,AUS,WPRO,01-10-23,2,0
Australia,AUS,WPRO,01-11-23,2,0
Australia,AUS,WPRO,01-12-23,2,0
Australia,AUS,WPRO,01-01-24,6,0
Australia,AUS,WPRO,01-04-24,5,0
Australia,AUS,WPRO,01-05-24,33,0
Austria,AUT,EURO,01-05-22,1,0
Austria,AUT,EURO,01-06-22,19,0
Austria,AUT,EURO,01-07-22,98,0
Austria,AUT,EURO,01-08-22,147,0
Austria,AUT,EURO,01-09-22,48,0
Austria,AUT,EURO,01-10-22,10,0
Austria,AUT,EURO,01-11-22,3,0
Austria,AUT,EURO,01-12-22,1,0
Austria,AUT,EURO,01-01-23,0,0
Austria,AUT,EURO,01-02-23,0,0
Austria,AUT,EURO,01-03-23,0,0
Austria,AUT,EURO,01-04-23,1,0
Austria,AUT,EURO,01-05-23,0,0
Austria,AUT,EURO,01-06-23,0,0
Austria,AUT,EURO,01-07-23,0,0
Austria,AUT,EURO,01-08-23,0,0
